season,first_conductor,orch,first_location,first_venue,event_name,first_date,num_perfs,first_soloist,id
1896,"Seidl, Anton",NYP,"Manhattan, NY",CH,SUB,1897-02-05,2,"Bispham, David Scull 3",1
1916,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1916-12-03,1,"Zimbalist, Efrem",2
1916,"Koemmenich, Louis",NYP,"Manhattan, NY",CH,SUB,1916-12-06,1,Oratorio Society of New York 11,3
1916,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1916-12-07,2,"Carreño, Teresa 2",4
1983,"Kubelik, Rafael",NYP,"Manhattan, NY",AFH,SUB,1983-09-14,1,"Serkin, Rudolf",5
1916,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1916-12-09,1,"Alda, Frances 2",6
1983,"Kubelik, Rafael",NYP,"Manhattan, NY",AFH,SUB,1983-09-15,4,None,7
1982,"Mehta, Zubin",NYP,"St. Louis, MO",FOX,T,1983-08-06,1,"Myers, Philip",8
1976,"Thomas, Michael Tilson",NYP,"Manhattan, NY",AFH,Y,1977-03-05,1,None,9
1957,"Cluytens, André",NYP,"Manhattan, NY",CH,SUB,1957-12-01,1,"Novaes, Guiomar",10
1916,"Stransky, Josef",NYP,"Brooklyn, NY",BAM,SUB,1916-12-10,1,"Zimbalist, Efrem",11
1983,"Kubelik, Rafael",NYP,"Manhattan, NY",AFH,SUB,1983-09-22,4,"Watts, Andre (André)",12
1982,"Mehta, Zubin",NYP,"Hollywood, CA",HOB,T,1983-07-27,1,"Kim, Myung-Hi 6",13
1976,"Leinsdorf, Erich",NYP,"Manhattan, NY",AFH,PCS,1977-03-14,1,All-City High School Orchestra,14
1957,"Mitropoulos, Dimitri",NYP,"Hartford, CT",BUS,RO,1957-12-03,1,"Kallir, Lilian",15
1873,"Bergmann, Carl",NYP,"Manhattan, NY",AOM,SUB,1874-01-17,1,"Mills, Sebastian Bach",16
1929,"Toscanini, Arturo",NYP,"Manhattan, NY",CH,SUB,1930-04-03,2,None,17
1916,"Stransky, Josef",NYP,"Newburgh, NY",AOM,RO,1916-12-11,1,None,18
1982,"Mehta, Zubin",NYP,"Tulsa, OK",PAC,T,1983-08-05,1,"Smith, Philip",19
1983,"Kubelik, Rafael",NYP,"Manhattan, NY",AFH,SUB,1983-09-29,3,"Szeryng, Henryk 2",20
1976,"Gilbert, David",NYP,"Manhattan, NY",AFH,PCS,1977-03-23,1,"Eley, Jennifer",21
1957,"Previtali, Fernando",NYP,"Manhattan, NY",CH,SUB,1957-12-05,2,"Schwarzkopf, Elisabeth",22
1916,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1916-12-13,1,"Godowsky, Leopold",24
1982,"Mehta, Zubin",NYP,"Tempe, AZ",GAM,T,1983-08-02,1,"LeClair, Judith P.",25
1986,"Schickele, Peter 2",NYP,"Manhattan, NY",AFH,PFB,1987-05-02,1,"Schickele, Peter 15",26
1957,"Previtali, Fernando",NYP,"Manhattan, NY",CH,SUB,1957-12-08,1,"Schwarzkopf, Elisabeth",27
1916,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1916-12-14,2,"Matzenauer, Margarete",28
1929,"Toscanini, Arturo",NYP,"Manhattan, NY",CH,PCS,1930-04-05,2,None,29
1986,"Davis, Andrew",NYP,"Manhattan, NY",AFH,SUB,1987-05-05,1,"Ax, Emanuel",30
1966,"Ozawa, Seiji",NYP,"Manhattan, NY",CPS,P,1967-08-01,3,"Tourel, Jennie",31
1957,"Previtali, Fernando",NYP,"Manhattan, NY",CH,SUB,1957-12-12,2,"Menuhin, Yehudi",32
1929,"Toscanini, Arturo",NYP,"Manhattan, NY",CH,SUB,1930-04-09,2,"Guidi, Scipione 2",33
1934,"Lange, Hans",NYP,"Manhattan, NY",CH,SUB,1935-03-03,1,"Bolognini, Remo",34
1916,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1916-12-17,1,"Elman, Mischa",35
1984,"Mehta, Zubin",NYP,"Manhattan, NY",DAM,S,1985-05-15,1,Joffrey Ballet School,36
1986,"Davis, Andrew",NYP,"Manhattan, NY",AFH,SUB,1987-05-07,4,"Lin, Cho-Liang",37
1966,"Wallenstein, Alfred",NYP,"Staten Island, NY",CLO,P,1967-08-09,1,None,38
1957,"Previtali, Fernando",NYP,"Manhattan, NY",CH,SUB,1957-12-14,2,"Menuhin, Yehudi",39
1934,"Toscanini, Arturo",NYP,"Manhattan, NY",CH,SUB,1935-03-07,3,Schola Cantorum of NY 3,40
1929,"Toscanini, Arturo",NYP,"Manhattan, NY",CH,PCS,1930-04-12,2,"Guidi, Scipione",41
1888,"Thomas, Theodore",NYP,"Manhattan, NY",MOH,SUB,1889-04-13,1,"Joseffy, Rafael",42
1912,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1913-02-02,1,"Grimson, Bonarios",43
1986,"Sinopoli, Giuseppe",NYP,"Manhattan, NY",AFH,SUB,1987-05-14,4,"Kremer, Gidon 2",44
1966,"Wallenstein, Alfred",NYP,"Brooklyn, NY",PRO,P,1967-08-10,2,"Munroe, Lorne",45
1957,"Previtali, Fernando",NYP,"Manhattan, NY",CH,SUB,1957-12-19,2,None,46
1846,"Boucher, Alfred",NYP,"Manhattan, NY",APO,SUB,1847-03-06,1,"Loder, Edward 3",47
